2023-11-17 03:58:03.878 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not matching any filter: file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/entity/UploadStatus.class]
2023-11-17 03:58:03.879 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Scanning file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/service/ThreadSample.class]
2023-11-17 03:58:03.891 DEBUG  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/service/ThreadSample.class]
2023-11-17 03:58:03.891 TRACE  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Scanning file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/web/FileUploadController.class]
2023-11-17 03:58:03.933 DEBUG  [main] o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [/home/t/code/github/pvt/fileUp/FileUp/target/classes/com/bb/fileUp/web/FileUploadController.class]
2023-11-17 03:58:04.036 TRACE  [main] o.s.c.i.s.SpringFactoriesLoader - Loaded [org.springframework.boot.autoconfigure.AutoConfigurationImportFilter] names: [org.springframework.boot.autoconfigure.condition.OnBeanCondition, org.springframework.boot.autoconfigure.condition.OnClassCondition, org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition]
2023-11-17 03:58:04.092 TRACE  [main] o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
2023-11-17 03:58:04.192 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.amqp.RabbitAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.rabbitmq.client.Channel'
2023-11-17 03:58:04.194 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.batch.BatchAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.batch.core.launch.JobLauncher'
2023-11-17 03:58:04.196 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.cassandra.CassandraAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession'
2023-11-17 03:58:04.196 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.couchbase.CouchbaseAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Cluster'
2023-11-17 03:58:04.196 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.dao.PersistenceExceptionTranslationAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor'
2023-11-17 03:58:04.197 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession'
2023-11-17 03:58:04.197 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraReactiveDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession'
2023-11-17 03:58:04.197 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraReactiveRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.data.cassandra.ReactiveSession'
2023-11-17 03:58:04.198 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession'
2023-11-17 03:58:04.198 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Bucket'
2023-11-17 03:58:04.198 TRACE  [main] o.s.b.a.condition.OnClassCondition - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseReactiveDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Cluster'
